forms	f1040	OK-prior	https://www.irs.gov/pub/irs-prior/f1040--2025.pdf
forms	f1040sr	OK-prior	https://www.irs.gov/pub/irs-prior/f1040sr--2025.pdf
forms	f1040x	OK-prior	https://www.irs.gov/pub/irs-prior/f1040x--2025.pdf
forms	f1040es	OK-prior	https://www.irs.gov/pub/irs-prior/f1040es--2025.pdf
forms	f1040v	OK-prior	https://www.irs.gov/pub/irs-prior/f1040v--2025.pdf
forms	f1040s1	OK-prior	https://www.irs.gov/pub/irs-prior/f1040s1--2025.pdf
forms	f1040s2	OK-prior	https://www.irs.gov/pub/irs-prior/f1040s2--2025.pdf
forms	f1040s3	OK-prior	https://www.irs.gov/pub/irs-prior/f1040s3--2025.pdf
forms	f1040sa	OK-prior	https://www.irs.gov/pub/irs-prior/f1040sa--2025.pdf
forms	f1040sb	OK-prior	https://www.irs.gov/pub/irs-prior/f1040sb--2025.pdf
forms	f1040sc	OK-prior	https://www.irs.gov/pub/irs-prior/f1040sc--2025.pdf
forms	f1040sd	OK-prior	https://www.irs.gov/pub/irs-prior/f1040sd--2025.pdf
forms	f1040se	OK-prior	https://www.irs.gov/pub/irs-prior/f1040se--2025.pdf
forms	f1040sf	OK-prior	https://www.irs.gov/pub/irs-prior/f1040sf--2025.pdf
forms	f1040sh	OK-prior	https://www.irs.gov/pub/irs-prior/f1040sh--2025.pdf
forms	f1040sj	OK-prior	https://www.irs.gov/pub/irs-prior/f1040sj--2025.pdf
forms	f1040sse	OK-prior	https://www.irs.gov/pub/irs-prior/f1040sse--2025.pdf
forms	f1040s8	OK-prior	https://www.irs.gov/pub/irs-prior/f1040s8--2025.pdf
forms	f8812	OK-current	https://www.irs.gov/pub/irs-pdf/f8812.pdf
forms	f8863	OK-prior	https://www.irs.gov/pub/irs-prior/f8863--2025.pdf
forms	f8880	OK-prior	https://www.irs.gov/pub/irs-prior/f8880--2025.pdf
forms	f8889	OK-prior	https://www.irs.gov/pub/irs-prior/f8889--2025.pdf
forms	f8949	OK-prior	https://www.irs.gov/pub/irs-prior/f8949--2025.pdf
forms	f8959	OK-prior	https://www.irs.gov/pub/irs-prior/f8959--2025.pdf
forms	f8960	OK-prior	https://www.irs.gov/pub/irs-prior/f8960--2025.pdf
forms	f8962	OK-prior	https://www.irs.gov/pub/irs-prior/f8962--2025.pdf
