chart,series,x,value
wealth-deciles-edu-hs-only-2022,share,D6,3.4047
wealth-deciles-edu-hs-only-2022,share,D7,5.5238
wealth-deciles-edu-hs-only-2022,share,D8,8.3347
wealth-deciles-edu-hs-only-2022,share,D9,13.711
wealth-deciles-edu-hs-only-2022,share,D10,65.6921
wealth-deciles-edu-some-college-2022,share,D1,-0.5617
wealth-deciles-edu-some-college-2022,share,D2,0.0603
wealth-deciles-edu-some-college-2022,share,D3,0.3373
wealth-deciles-edu-some-college-2022,share,D4,1.0607
wealth-deciles-edu-some-college-2022,share,D5,1.9932
wealth-deciles-edu-some-college-2022,share,D6,3.2357
wealth-deciles-edu-some-college-2022,share,D7,5.163
wealth-deciles-edu-some-college-2022,share,D8,8.0542
wealth-deciles-edu-some-college-2022,share,D9,13.2259
wealth-deciles-edu-some-college-2022,share,D10,67.4314
wealth-deciles-edu-college-2022,share,D1,-0.2441
wealth-deciles-edu-college-2022,share,D2,0.1703
wealth-deciles-edu-college-2022,share,D3,0.6102
wealth-deciles-edu-college-2022,share,D4,1.1293
wealth-deciles-edu-college-2022,share,D5,1.8963
wealth-deciles-edu-college-2022,share,D6,3.0435
wealth-deciles-edu-college-2022,share,D7,4.8119
wealth-deciles-edu-college-2022,share,D8,7.4215
wealth-deciles-edu-college-2022,share,D9,13.7862
wealth-deciles-edu-college-2022,share,D10,67.375
wealth-decile-composition-age-2022,18-35,D1,20.5421
wealth-decile-composition-age-2022,18-35,D2,19.1977
wealth-decile-composition-age-2022,18-35,D3,20.3875
wealth-decile-composition-age-2022,18-35,D4,21.8033
wealth-decile-composition-age-2022,18-35,D5,15.6818
wealth-decile-composition-age-2022,18-35,D6,19.9022
wealth-decile-composition-age-2022,18-35,D7,22.7386
wealth-decile-composition-age-2022,18-35,D8,24.333
wealth-decile-composition-age-2022,18-35,D9,26.1497
wealth-decile-composition-age-2022,18-35,D10,22.5181
wealth-decile-composition-age-2022,36-50,D1,24.1018
wealth-decile-composition-age-2022,36-50,D2,27.4269
wealth-decile-composition-age-2022,36-50,D3,19.6474
wealth-decile-composition-age-2022,36-50,D4,23.6975
wealth-decile-composition-age-2022,36-50,D5,29.085
wealth-decile-composition-age-2022,36-50,D6,21.2221
wealth-decile-composition-age-2022,36-50,D7,20.9092
wealth-decile-composition-age-2022,36-50,D8,29.7096
wealth-decile-composition-age-2022,36-50,D9,22.7251
wealth-decile-composition-age-2022,36-50,D10,25.9261
wealth-decile-composition-age-2022,51-65,D1,30.681
wealth-decile-composition-age-2022,51-65,D2,27.8742
wealth-decile-composition-age-2022,51-65,D3,30.0356
wealth-decile-composition-age-2022,51-65,D4,29.196
wealth-decile-composition-age-2022,51-65,D5,27.5845
wealth-decile-composition-age-2022,51-65,D6,30.7995
wealth-decile-composition-age-2022,51-65,D7,27.1506
wealth-decile-composition-age-2022,51-65,D8,25.6176
wealth-decile-composition-age-2022,51-65,D9,26.0759
wealth-decile-composition-age-2022,51-65,D10,24.5688
wealth-decile-composition-age-2022,65+,D1,24.675
wealth-decile-composition-age-2022,65+,D2,25.5013
wealth-decile-composition-age-2022,65+,D3,29.9295
wealth-decile-composition-age-2022,65+,D4,25.3032
wealth-decile-composition-age-2022,65+,D5,27.6488
wealth-decile-composition-age-2022,65+,D6,28.0761
wealth-decile-composition-age-2022,65+,D7,29.2016
wealth-decile-composition-age-2022,65+,D8,20.3398
wealth-decile-composition-age-2022,65+,D9,25.0492
wealth-decile-composition-age-2022,65+,D10,26.987
wealth-decile-composition-educ-2022,<HS,D1,9.0633
wealth-decile-composition-educ-2022,<HS,D2,7.9033
wealth-decile-composition-educ-2022,<HS,D3,8.2633
wealth-decile-composition-educ-2022,<HS,D4,6.9859
wealth-decile-composition-educ-2022,<HS,D5,11.719
wealth-decile-composition-educ-2022,<HS,D6,9.1287
wealth-decile-composition-educ-2022,<HS,D7,10.0033
wealth-decile-composition-educ-2022,<HS,D8,8.9217
wealth-decile-composition-educ-2022,<HS,D9,8.2608
wealth-decile-composition-educ-2022,<HS,D10,10.0502
wealth-decile-composition-educ-2022,HS,D1,23.3897
wealth-decile-composition-educ-2022,HS,D2,25.5706
wealth-decile-composition-educ-2022,HS,D3,26.1074
wealth-decile-composition-educ-2022,HS,D4,23.7488
wealth-decile-composition-educ-2022,HS,D5,21.5448
wealth-decile-composition-educ-2022,HS,D6,26.6855
wealth-decile-composition-educ-2022,HS,D7,22.0082
wealth-decile-composition-educ-2022,HS,D8,21.9524
wealth-decile-composition-educ-2022,HS,D9,21.5903
wealth-decile-composition-educ-2022,HS,D10,23.7904
wealth-decile-composition-educ-2022,Some college,D1,26.6026
wealth-decile-composition-educ-2022,Some college,D2,25.0964
wealth-decile-composition-educ-2022,Some college,D3,30.7172
wealth-decile-composition-educ-2022,Some college,D4,24.6939
wealth-decile-composition-educ-2022,Some college,D5,26.318
wealth-decile-composition-educ-2022,Some college,D6,28.0826
wealth-decile-composition-educ-2022,Some college,D7,28.9853
wealth-decile-composition-educ-2022,Some college,D8,27.6072
wealth-decile-composition-educ-2022,Some college,D9,23.7187
wealth-decile-composition-educ-2022,Some college,D10,28.047
wealth-decile-composition-educ-2022,College,D1,40.9445
wealth-decile-composition-educ-2022,College,D2,41.4297
wealth-decile-composition-educ-2022,College,D3,34.912
wealth-decile-composition-educ-2022,College,D4,44.5714
wealth-decile-composition-educ-2022,College,D5,40.4182
wealth-decile-composition-educ-2022,College,D6,36.1032
wealth-decile-composition-educ-2022,College,D7,39.0032
wealth-decile-composition-educ-2022,College,D8,41.5186
wealth-decile-composition-educ-2022,College,D9,46.4302
wealth-decile-composition-educ-2022,College,D10,38.1124
wealth-decile-composition-race-2022,White,D1,70.9506
wealth-decile-composition-race-2022,White,D2,67.0992
wealth-decile-composition-race-2022,White,D3,67.9477
wealth-decile-composition-race-2022,White,D4,68.2824
wealth-decile-composition-race-2022,White,D5,69.2087
wealth-decile-composition-race-2022,White,D6,76.7154
wealth-decile-composition-race-2022,White,D7,64.7817
wealth-decile-composition-race-2022,White,D8,68.6568
wealth-decile-composition-race-2022,White,D9,69.1767
wealth-decile-composition-race-2022,White,D10,71.8244
wealth-decile-composition-race-2022,Black,D1,15.2173
wealth-decile-composition-race-2022,Black,D2,14.6797
wealth-decile-composition-race-2022,Black,D3,16.1429
wealth-decile-composition-race-2022,Black,D4,13.6198
wealth-decile-composition-race-2022,Black,D5,13.0177
wealth-decile-composition-race-2022,Black,D6,9.0499
wealth-decile-composition-race-2022,Black,D7,14.1045
wealth-decile-composition-race-2022,Black,D8,13.435
wealth-decile-composition-race-2022,Black,D9,10.4426
wealth-decile-composition-race-2022,Black,D10,12.0413
wealth-decile-composition-race-2022,Latino,D1,10.3698
wealth-decile-composition-race-2022,Latino,D2,11.2862
wealth-decile-composition-race-2022,Latino,D3,10.716
wealth-decile-composition-race-2022,Latino,D4,12.9166
wealth-decile-composition-race-2022,Latino,D5,10.9291
wealth-decile-composition-race-2022,Latino,D6,9.8234
wealth-decile-composition-race-2022,Latino,D7,11.1153
wealth-decile-composition-race-2022,Latino,D8,9.7874
wealth-decile-composition-race-2022,Latino,D9,12.695
wealth-decile-composition-race-2022,Latino,D10,11.0394
wealth-decile-composition-race-2022,Other,D1,3.4623
wealth-decile-composition-race-2022,Other,D2,6.9349
wealth-decile-composition-race-2022,Other,D3,5.1934
wealth-decile-composition-race-2022,Other,D4,5.1813
wealth-decile-composition-race-2022,Other,D5,6.8445
wealth-decile-composition-race-2022,Other,D6,4.4113
wealth-decile-composition-race-2022,Other,D7,9.9985
wealth-decile-composition-race-2022,Other,D8,8.1209
wealth-decile-composition-race-2022,Other,D9,7.6857
wealth-decile-composition-race-2022,Other,D10,5.0949
