ref_area,age,year,value
CAN,Y_GT65,2023,0.543
CAN,_T,1993,0.428533
CAN,_T,1994,0.430707
CAN,_T,1995,0.428678
CAN,_T,2023,0.433
CAN,Y18T65,1976,0.356
CAN,_T,2018,0.428
CAN,_T,2019,0.42
CAN,Y18T65,1993,0.399938
CAN,Y18T65,1994,0.402032
CAN,_T,2014,0.425
CRI,_T,2014,0.52234
CRI,_T,2015,0.522527
CRI,_T,2016,0.532956
CRI,_T,2017,0.529952
CRI,_T,2018,0.530998
CRI,_T,2019,0.532481
CRI,_T,2020,0.575592
CRI,_T,2021,0.550906
CRI,_T,2022,0.533821
CRI,_T,2023,0.534828
CRI,Y_GT65,2025,0.671678
CRI,_T,2025,0.521842
CRI,Y18T65,2025,0.487723
CRI,Y_GT65,2010,0.653017
CRI,Y_GT65,2011,0.672718
CRI,Y_GT65,2012,0.705812
CRI,Y_GT65,2013,0.662444
CRI,Y_GT65,2014,0.664201
CRI,Y_GT65,2015,0.657089
CRI,Y18T65,2011,0.496305
CRI,Y18T65,2012,0.495284
CRI,Y18T65,2013,0.511547
CRI,Y18T65,2014,0.503552
CRI,Y18T65,2015,0.501987
CRI,Y18T65,2016,0.51071
CRI,Y18T65,2017,0.506445
CRI,Y18T65,2018,0.507046
CRI,Y18T65,2019,0.508556
CRI,Y18T65,2020,0.552501
CRI,Y18T65,2021,0.526452
CRI,Y_GT65,2024,0.664774
CRI,_T,2024,0.526357
CRI,Y18T65,2024,0.494961
CRI,Y18T65,2010,0.485711
CRI,Y_GT65,2016,0.678881
CRI,Y_GT65,2017,0.674823
CHL,_T,2013,0.498
CHL,_T,2015,0.486
CHL,_T,2017,0.495
CHL,Y_GT65,2020,0.536093
CHL,Y_GT65,2022,0.526423
CHL,Y18T65,2009,0.508
CHL,Y18T65,2011,0.495
CHL,Y18T65,2013,0.492
CHL,Y18T65,2015,0.476
CHL,Y18T65,2017,0.484
CHL,Y_GT65,2009,0.525
CHL,Y_GT65,2011,0.496
CHL,Y_GT65,2013,0.512
CHL,Y_GT65,2015,0.519
CHL,Y18T65,2020,0.532483
CHL,Y18T65,2022,0.479762
CHL,_T,2020,0.539398
CHL,_T,2022,0.490766
CHL,Y_GT65,2017,0.526
CHL,_T,2009,0.513
CAN,_T,2017,0.437
CAN,Y18T65,2022,0.392
CAN,Y_GT65,2022,0.533
CAN,_T,2022,0.427
CAN,_T,2020,0.438
CAN,Y_GT65,2011,0.55
CAN,Y_GT65,2012,0.545
CAN,Y_GT65,2013,0.537
CAN,Y18T65,2020,0.407
CAN,Y18T65,2021,0.404
CAN,Y_GT65,1976,0.649
CAN,Y_GT65,1977,0.642
CAN,Y_GT65,1978,0.63
CAN,Y_GT65,1979,0.617
CAN,Y_GT65,1980,0.603
CAN,Y_GT65,1981,0.604
CAN,Y_GT65,1982,0.615
CAN,Y_GT65,1983,0.613
CAN,Y_GT65,1984,0.637
CAN,Y_GT65,1985,0.626
CAN,Y_GT65,1986,0.628
CAN,Y_GT65,1987,0.609
CAN,Y_GT65,1988,0.617
CAN,Y_GT65,1989,0.598
CAN,Y_GT65,1990,0.592
CAN,Y_GT65,1991,0.61
CAN,Y_GT65,1992,0.605
CAN,Y_GT65,1996,0.597
CAN,Y_GT65,1997,0.598
CAN,Y_GT65,1998,0.58
CAN,Y_GT65,1999,0.575
CAN,Y_GT65,2000,0.569
CAN,Y_GT65,2001,0.56
CAN,Y_GT65,2002,0.558
CAN,Y_GT65,2003,0.555
CAN,Y_GT65,2004,0.556
CAN,Y_GT65,2005,0.56
CAN,Y_GT65,2006,0.549
CAN,Y_GT65,2007,0.554
CAN,Y_GT65,2008,0.551
CAN,Y_GT65,2009,0.557
CAN,Y_GT65,2010,0.57
CAN,Y_GT65,2014,0.539
CAN,Y_GT65,2015,0.539
CAN,Y_GT65,2016,0.545
CAN,Y_GT65,2017,0.546
CAN,Y_GT65,2018,0.537
DNK,_T,2022,0.442
DNK,Y_GT65,2011,0.6454
DNK,Y_GT65,2013,0.6398
DNK,Y_GT65,2014,0.6352
DNK,Y_GT65,2015,0.6376
DNK,Y_GT65,2016,0.6288
DNK,Y_GT65,2017,0.6304
DNK,Y_GT65,2018,0.6244
DNK,Y_GT65,2019,0.6373
DNK,Y_GT65,2020,0.6411
DNK,Y_GT65,2021,0.6265
DNK,Y_GT65,2022,0.6241
DNK,Y18T65,2013,0.401
DNK,Y_GT65,2012,0.636
DNK,_T,2013,0.442
DNK,_T,2014,0.444
DNK,Y18T65,2016,0.4046
DNK,Y18T65,2017,0.4024
DNK,Y18T65,2018,0.3981
DNK,Y18T65,2019,0.3971
DNK,Y18T65,2020,0.3987
DNK,Y18T65,2021,0.3974
DNK,Y18T65,2022,0.3942
DNK,_T,2011,0.4334
DNK,_T,2012,0.4361
DNK,_T,2015,0.4512
DNK,_T,2016,0.4467
DNK,Y18T65,2011,0.3926
DNK,Y18T65,2012,0.3962
DNK,Y18T65,2014,0.4019
DNK,Y18T65,2015,0.4099
DNK,_T,2017,0.4464
DNK,_T,2018,0.4425
CZE,Y18T65,2018,0.341816
CZE,Y18T65,2019,0.337706
CZE,Y18T65,2020,0.357539
CZE,Y18T65,2021,0.336365
CZE,Y18T65,2022,0.329324
CZE,_T,2014,0.460415
CZE,_T,2015,0.459877
CZE,_T,2016,0.44773
CZE,_T,2017,0.435248
CZE,_T,2018,0.43116
CZE,_T,2019,0.431649
CZE,_T,2020,0.449397
CZE,_T,2021,0.437636
CZE,_T,2022,0.432289
CZE,_T,2023,0.428859
CZE,Y18T65,2007,0.388444
CZE,Y18T65,2023,0.324265
CZE,Y_GT65,2016,0.841819
CZE,Y_GT65,2017,0.838832
CZE,Y_GT65,2018,0.838089
CZE,Y_GT65,2019,0.831388
CZE,Y_GT65,2020,0.834672
CZE,_T,2004,0.467363
CZE,_T,2005,0.46116
CZE,_T,2006,0.459845
CZE,_T,2007,0.449672
CZE,_T,2008,0.443953
CZE,_T,2009,0.444682
CZE,_T,2010,0.44896
CZE,_T,2011,0.455473
CZE,_T,2012,0.4527
CZE,_T,2013,0.460778
CZE,Y18T65,2004,0.412715
CZE,Y18T65,2005,0.405226
CZE,Y18T65,2006,0.40042
CZE,Y18T65,2008,0.38043
CZE,Y18T65,2009,0.383578
CZE,Y18T65,2010,0.386163
CZE,Y18T65,2011,0.390478
CZE,Y18T65,2012,0.387543
CZE,Y18T65,2013,0.385708
CZE,Y18T65,2014,0.380861
CZE,Y_GT65,2005,0.851701
CZE,Y_GT65,2006,0.847193
CZE,Y_GT65,2007,0.843427
CZE,Y_GT65,2008,0.831717
CZE,Y_GT65,2009,0.828405
CZE,Y_GT65,2010,0.828208
CZE,Y_GT65,2011,0.838466
CZE,Y_GT65,2012,0.834457
CZE,Y_GT65,2013,0.821903
CZE,Y_GT65,2014,0.841681
CZE,Y_GT65,2015,0.844377
CZE,Y_GT65,2021,0.835477
CZE,Y_GT65,2022,0.828843
CZE,Y_GT65,2023,0.832551
CZE,Y_GT65,2004,0.837933
CZE,Y18T65,2015,0.378245
CZE,Y18T65,2016,0.364591
CRI,Y_GT65,2019,0.672956
CRI,Y_GT65,2020,0.713412
CRI,Y_GT65,2021,0.687456
CRI,Y_GT65,2022,0.693561
CRI,Y_GT65,2023,0.683893
CRI,Y18T65,2022,0.503732
CRI,Y18T65,2023,0.503757
CRI,_T,2010,0.504658
CRI,_T,2011,0.515119
CRI,_T,2012,0.517885
CRI,_T,2013,0.529649
FIN,Y18T65,2012,0.418213
FIN,Y_GT65,2012,0.867765
FIN,_T,2012,0.488486
FIN,_T,2013,0.49541
FIN,Y_GT65,2013,0.87267
FIN,Y18T65,2013,0.42193
FIN,Y18T65,2014,0.4239
FIN,Y_GT65,2014,0.84672
FIN,_T,2014,0.4954
FIN,_T,2015,0.50668
FIN,Y_GT65,2015,0.84575
FIN,Y18T65,2015,0.43562
FIN,Y18T65,2016,0.43336
FIN,Y_GT65,2016,0.83896
FIN,_T,2016,0.50631
FIN,_T,2017,0.51216
FIN,Y_GT65,2017,0.82691
FIN,Y18T65,2017,0.43554
FIN,Y18T65,2018,0.42857
FIN,Y_GT65,2018,0.83833
FIN,_T,1987,0.393302
FIN,Y_GT65,1987,0.810703
FIN,Y18T65,1987,0.350763
FIN,Y18T65,1988,0.356959
FIN,Y_GT65,1988,0.828797
FIN,_T,1988,0.399907
FIN,_T,1989,0.407468
FIN,Y_GT65,1993,0.862964
FIN,Y18T65,1993,0.431321
FIN,Y18T65,1994,0.441717
FIN,Y_GT65,1994,0.9071
FIN,_T,1994,0.485595
FIN,_T,1995,0.483153
FIN,Y_GT65,2021,0.84825
FIN,Y18T65,2021,0.42546
FIN,Y18T65,2022,0.41954
FIN,Y_GT65,2022,0.84668
FIN,_T,2022,0.51172
FIN,_T,2023,0.509
FIN,Y_GT65,2023,0.839
FIN,Y18T65,2023,0.411
FIN,Y18T65,2024,0.431
FIN,Y_GT65,2024,0.83674
FIN,_T,2024,0.52284
FIN,_T,2001,0.483794
FIN,Y_GT65,2001,0.906206
FIN,Y18T65,2001,0.428667
FIN,Y18T65,2002,0.425143
FIN,Y_GT65,2002,0.855882
FIN,_T,2002,0.479165
FIN,_T,2003,0.479462
FIN,Y_GT65,2003,0.844213
FIN,_T,1996,0.484686
FIN,_T,1997,0.487395
FIN,Y_GT65,1997,0.884154
FIN,Y18T65,1997,0.441048
FIN,Y18T65,1998,0.434257
FIN,Y_GT65,1998,0.88626
FIN,_T,1998,0.482901
FIN,_T,1999,0.482529
FIN,Y_GT65,1999,0.905374
FIN,Y18T65,1999,0.430304
FIN,Y18T65,2000,0.42153
FIN,Y_GT65,1995,0.883484
FIN,Y18T65,1995,0.442219
FIN,Y18T65,1996,0.441677
FIN,Y_GT65,1996,0.89083
FIN,Y_GT65,1989,0.839444
FIN,Y18T65,1989,0.358606
EST,Y18T65,2020,0.398302
EST,Y18T65,2021,0.391206
EST,Y18T65,2022,0.39607
EST,Y18T65,2023,0.392651
EST,_T,2013,0.508019
EST,_T,2014,0.487666
EST,_T,2015,0.469764
EST,_T,2016,0.454818
EST,_T,2017,0.444994
EST,_T,2018,0.44041
EST,_T,2019,0.465444
EST,_T,2020,0.469661
EST,_T,2021,0.464697
EST,_T,2022,0.468704
EST,_T,2023,0.467974
EST,Y_GT65,2021,0.781516
EST,Y_GT65,2022,0.775909
EST,Y_GT65,2023,0.774723
EST,Y_GT65,2014,0.778886
EST,Y_GT65,2015,0.79568
EST,Y_GT65,2016,0.783487
EST,Y_GT65,2017,0.775597
EST,Y18T65,2013,0.445552
EST,Y18T65,2014,0.42153
EST,Y18T65,2015,0.398186
EST,Y18T65,2016,0.379916
EST,Y_GT65,2013,0.82488
EST,Y_GT65,2018,0.755526
EST,Y_GT65,2019,0.76412
EST,Y_GT65,2020,0.768145
EST,Y18T65,2017,0.369243
EST,Y18T65,2018,0.364218
DNK,_T,2020,0.4467
DNK,_T,2021,0.4437
GRC,Y_GT65,2019,0.812838
GRC,Y_GT65,2003,0.736909
GRC,Y_GT65,2006,0.750504
GRC,Y_GT65,2007,0.7615
GRC,Y_GT65,2008,0.769092
GRC,_T,2007,0.499058
GRC,_T,2008,0.500059
DEU,_T,2011,0.50515
DEU,_T,2012,0.5009
DEU,_T,2013,0.50803
DEU,_T,2014,0.4999
DEU,_T,2015,0.50396
DEU,_T,2016,0.50488
DEU,_T,2017,0.4996
DEU,_T,2018,0.49445
DEU,_T,2019,0.49652
DEU,_T,2020,0.49568
DEU,_T,2021,0.50337
DEU,Y_GT65,2023,0.76
DEU,_T,2023,0.497
DEU,Y18T65,2023,0.406
DEU,Y_GT65,2008,0.75789
DEU,Y_GT65,2011,0.7592
DEU,Y_GT65,2012,0.7645
DEU,Y_GT65,2013,0.75207
DEU,Y_GT65,2014,0.7544
DEU,Y_GT65,2015,0.74231
DEU,Y_GT65,2016,0.74467
DEU,Y_GT65,2017,0.74734
DEU,Y_GT65,2018,0.75882
DEU,Y_GT65,2019,0.76101
DEU,Y18T65,2012,0.4105
DEU,Y18T65,2013,0.41935
DEU,Y18T65,2014,0.4103
DEU,Y18T65,2015,0.41917
DEU,Y18T65,2016,0.41546
DEU,Y18T65,2017,0.40962
DEU,Y18T65,2018,0.4053
DEU,Y18T65,2019,0.40284
DEU,Y18T65,2020,0.4042
DEU,Y18T65,2021,0.41471
DEU,_T,2022,0.50471
DEU,Y_GT65,2022,0.77616
DEU,Y18T65,2022,0.41757
DEU,Y18T65,2008,0.4078
