quarter,series,value
2005:Q2,top10,64.1
2005:Q2,bottom50,2.4
2005:Q3,top1,27.2
2005:Q3,top10,64.2
2005:Q3,bottom50,2.5
2005:Q4,top1,27.2
2005:Q4,top10,64.2
2005:Q4,bottom50,2.5
2006:Q1,top1,27.9
2006:Q1,top10,65.1
2006:Q1,bottom50,2.4
2006:Q2,top1,27.7
2006:Q2,top10,65.0
2006:Q2,bottom50,2.4
2006:Q3,top1,27.8
2006:Q3,top10,65.2
2006:Q3,bottom50,2.4
2006:Q4,top1,28.2
2006:Q4,top10,65.7
2006:Q4,bottom50,2.3
2007:Q1,top1,28.5
2007:Q1,top10,66.2
2007:Q1,bottom50,2.2
2007:Q2,top1,28.7
2007:Q2,top10,66.5
2007:Q2,bottom50,2.1
2007:Q3,top1,29.0
2007:Q3,top10,67.0
2007:Q3,bottom50,2.0
2007:Q4,top1,29.0
2007:Q4,top10,67.1
2007:Q4,bottom50,1.7
2008:Q1,top1,28.9
2008:Q1,top10,67.1
2008:Q1,bottom50,1.5
2008:Q2,top1,28.8
2008:Q2,top10,67.1
2008:Q2,bottom50,1.5
2008:Q3,top1,28.4
2008:Q3,top10,66.9
2008:Q3,bottom50,1.2
2008:Q4,top1,27.6
2008:Q4,top10,66.4
2008:Q4,bottom50,1.0
2009:Q1,top1,27.2
2009:Q1,top10,66.3
2009:Q1,bottom50,0.8
2009:Q2,top1,27.4
2009:Q2,top10,66.7
2009:Q2,bottom50,0.8
2009:Q3,top1,27.9
2009:Q3,top10,67.4
2009:Q3,bottom50,0.7
2009:Q4,top1,27.9
2009:Q4,top10,67.6
2009:Q4,bottom50,0.6
2010:Q1,top1,28.2
2010:Q1,top10,67.9
2010:Q1,bottom50,0.5
2010:Q2,top1,28.0
2010:Q2,top10,67.9
2010:Q2,bottom50,0.5
2010:Q3,top1,28.4
2010:Q3,top10,68.4
2010:Q3,bottom50,0.5
2010:Q4,top1,28.8
2010:Q4,top10,68.8
2010:Q4,bottom50,0.4
2011:Q1,top1,29.1
2011:Q1,top10,69.1
2011:Q1,bottom50,0.4
2011:Q2,top1,29.2
2011:Q2,top10,69.1
2011:Q2,bottom50,0.4
2011:Q3,top1,28.8
2011:Q3,top10,68.5
2011:Q3,bottom50,0.5
2011:Q4,top1,29.1
2011:Q4,top10,68.8
2011:Q4,bottom50,0.4
2012:Q1,top1,29.5
2012:Q1,top10,69.1
2012:Q1,bottom50,0.4
2012:Q2,top1,29.5
2012:Q2,top10,69.0
2012:Q2,bottom50,0.6
2012:Q3,top1,29.7
2012:Q3,top10,69.1
2012:Q3,bottom50,0.6
2012:Q4,top1,29.3
2012:Q4,top10,68.8
2012:Q4,bottom50,0.7
2013:Q1,top1,29.5
2013:Q1,top10,69.0
2013:Q1,bottom50,0.7
2013:Q2,top1,29.4
2013:Q2,top10,68.8
2013:Q2,bottom50,0.8
2013:Q3,top1,29.4
2013:Q3,top10,68.7
2013:Q3,bottom50,0.9
2013:Q4,top1,29.6
2013:Q4,top10,69.0
2013:Q4,bottom50,0.9
2014:Q1,top1,29.9
2014:Q1,top10,69.3
2014:Q1,bottom50,0.9
2014:Q2,top1,30.2
2014:Q2,top10,69.5
2014:Q2,bottom50,1.0
2014:Q3,top1,30.2
2014:Q3,top10,69.5
2014:Q3,bottom50,1.1
2014:Q4,top1,30.4
2014:Q4,top10,69.8
2014:Q4,bottom50,1.0
2015:Q1,top1,30.5
2015:Q1,top10,69.8
2015:Q1,bottom50,1.1
2015:Q2,top1,30.6
2015:Q2,top10,70.0
2015:Q2,bottom50,1.1
2015:Q3,top1,30.3
2015:Q3,top10,69.7
2015:Q3,bottom50,1.1
2015:Q4,top1,30.3
2015:Q4,top10,69.6
2015:Q4,bottom50,1.2
2016:Q1,top1,30.4
2016:Q1,top10,69.7
2016:Q1,bottom50,1.2
2016:Q2,top1,30.6
2016:Q2,top10,69.9
2016:Q2,bottom50,1.2
2016:Q3,top1,30.7
2016:Q3,top10,69.9
2016:Q3,bottom50,1.3
2016:Q4,top1,30.5
2016:Q4,top10,69.8
2016:Q4,bottom50,1.3
2017:Q1,top1,30.5
2017:Q1,top10,69.8
2017:Q1,bottom50,1.3
2017:Q2,top1,30.6
2017:Q2,top10,69.9
2017:Q2,bottom50,1.4
2017:Q3,top1,30.5
2017:Q3,top10,69.9
2017:Q3,bottom50,1.4
2017:Q4,top1,30.6
2017:Q4,top10,70.0
2017:Q4,bottom50,1.4
2018:Q1,top1,30.4
2018:Q1,top10,69.8
2018:Q1,bottom50,1.5
2018:Q2,top1,30.3
2018:Q2,top10,69.8
2018:Q2,bottom50,1.6
2018:Q3,top1,30.5
2018:Q3,top10,70.0
2018:Q3,bottom50,1.6
2018:Q4,top1,29.8
2018:Q4,top10,69.5
2018:Q4,bottom50,1.6
2019:Q1,top1,30.4
2019:Q1,top10,70.2
